关卡,参数,参数值,最优终端财富,到达日,挖矿天数,村庄采购次数,初始水量,初始食物量,运行时间秒
第一关,基准,基准,10470.0,24,7,2,178,333,11.438
第二关,基准,基准,12730.0,30,13,3,130,405,25.057
第一关,负重上限,1080,9670.0,24,6,2,158,303,9.088
第一关,负重上限,1320,11270.0,24,8,2,198,363,10.095
第一关,矿山收益,900,9770.0,24,7,2,178,333,10.273
第一关,矿山收益,1100,11180.0,28,8,3,162,357,12.569
第二关,负重上限,1080,12130.0,30,13,3,130,345,21.005
第二关,负重上限,1320,13365.0,30,14,1,247,289,27.17
第二关,矿山收益,900,11430.0,30,13,3,130,405,38.589
第二关,矿山收益,1100,14030.0,30,13,3,130,405,27.177
第一关,初始资金,9000,9470.0,24,7,2,178,333,11.603
第一关,初始资金,11000,11470.0,24,7,2,178,333,8.578
第一关,截止日期,26,10470.0,24,7,2,178,333,3.136
第一关,截止日期,28,10470.0,24,7,2,178,333,8.026
